index,term_expression,original_index
1877,"and(greater_than(cardinality(B), cardinality(A)), subset_eq(A, index(cardinality(A), union(A, B))))",428
1878,"or(subset_eq(index(cardinality(B), union(A, B)), difference(B, A)), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",4992
1879,"subset_eq(difference(index(cardinality(B), A), index(cardinality(B), difference(A, B))), intersection(B, index(cardinality(B), union(A, B))))",7825
1880,"subset_eq(difference(index(cardinality(B), union(A, B)), B), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",7080
1881,"and(subset_eq(A, difference(A, B)), subset_eq(index(cardinality(B), A), index(cardinality(A), union(A, B))))",366
1882,"and(or(subset_eq(A, B), equals(cardinality(A), cardinality(B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",767
1883,"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(B, index(cardinality(A), union(A, B))))",1081
1884,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), union(union(difference(A, B), difference(B, A)), index(cardinality(A), B)))",6620
1885,"or(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4590
1886,"or(subset_eq(index(cardinality(A), B), A), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",3273
1887,"subset_eq(index(cardinality(difference(B, A)), A), difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))))",8732
1888,"or(and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(A, index(cardinality(B), A)))",3427
1889,"and(or(subset_eq(B, A), subset_eq(A, difference(A, B))), not(equals(cardinality(A), cardinality(B))))",937
1890,"and(subset_eq(intersection(A, B), index(cardinality(A), union(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",1997
1891,"and(not(subset_eq(B, A)), subset_eq(difference(B, A), index(cardinality(A), union(A, B))))",297
1892,"or(greater_than(cardinality(B), cardinality(A)), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",3186
1893,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), index(cardinality(intersection(A, B)), difference(A, B)))",6177
1894,"and(and(not(subset_eq(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",542
1895,"or(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), B)), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",5064
1896,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))), union(index(cardinality(B), A), index(cardinality(A), union(A, B))))",6743
1897,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, B)), difference(B, A)))",6492
1898,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), index(cardinality(difference(B, A)), difference(A, B)))",6187
1899,"and(subset_eq(index(cardinality(A), B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), union(difference(A, B), difference(B, A))))",2641
1900,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), union(difference(B, A), index(cardinality(B), union(A, B))))",6111
1901,"subset_eq(difference(difference(B, A), index(cardinality(A), union(A, B))), index(cardinality(difference(A, B)), B))",7656
1902,"subset_eq(union(index(cardinality(B), A), index(cardinality(B), union(A, B))), index(cardinality(difference(B, A)), B))",6539
1903,"subset_eq(intersection(B, index(cardinality(B), A)), index(cardinality(difference(A, A)), B))",6949
1904,"and(subset_eq(intersection(A, B), index(cardinality(A), B)), subset_eq(index(cardinality(A), difference(B, A)), A))",1912
1905,"subset_eq(intersection(B, index(cardinality(A), union(A, B))), index(cardinality(difference(B, A)), A))",6976
1906,"or(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), equals(cardinality(B), cardinality(difference(A, B))))",3888
1907,"and(subset_eq(index(cardinality(A), union(A, B)), difference(B, A)), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",2561
1908,"or(or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(difference(A, B), index(cardinality(B), union(A, B))))",3966
1909,"subset_eq(index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))), index(cardinality(intersection(A, B)), difference(A, B)))",9394
1910,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), index(cardinality(B), union(difference(A, B), difference(B, A))))",8306
1911,"subset_eq(index(cardinality(difference(B, A)), A), difference(difference(A, B), index(cardinality(B), A)))",8723
1912,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), difference(union(A, B), index(cardinality(B), union(A, B))))",9311
1913,"subset_eq(index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))), index(cardinality(difference(B, A)), A))",9392
1914,"and(subset_eq(B, A), greater_than(cardinality(difference(A, B)), cardinality(B)))",163
1915,"and(subset_eq(difference(B, A), index(cardinality(B), union(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",2162
1916,"and(or(subset_eq(B, A), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), A)))",924
1917,"or(subset_eq(B, index(cardinality(A), union(A, B))), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(B), A)))",4267
1918,"or(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), subset_eq(A, index(cardinality(B), union(A, B))))",3662
1919,"and(not(subset_eq(union(A, B), difference(A, A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",1875
1920,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), index(cardinality(intersection(A, B)), A))",6353
1921,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))), union(intersection(A, B), index(cardinality(A), B)))",6733
1922,"and(subset_eq(index(cardinality(B), A), B), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",2240
1923,"subset_eq(index(cardinality(intersection(A, B)), difference(A, B)), difference(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",8889
1924,"subset_eq(index(cardinality(A), union(A, B)), index(cardinality(intersection(A, B)), A))",5415
1925,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), intersection(B, index(cardinality(A), union(A, B))))",6121
1926,"or(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(difference(B, A), index(cardinality(B), union(A, B))))",3868
1927,"and(not(subset_eq(B, A)), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",339
1928,"or(and(subset_eq(B, A), not(subset_eq(A, B))), greater_than(cardinality(B), cardinality(difference(A, B))))",3230
1929,"and(or(subset_eq(B, A), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), union(A, B)), B))",948
1930,"subset_eq(union(intersection(A, B), index(cardinality(B), difference(A, B))), index(cardinality(intersection(A, B)), union(A, B)))",5897
1931,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(A), difference(B, A))))",3547
1932,"and(not(subset_eq(A, B)), subset_eq(index(cardinality(B), difference(A, B)), B))",230
1933,"subset_eq(difference(B, index(cardinality(B), A)), index(cardinality(difference(B, A)), B))",7369
1934,"and(not(subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",1777
1935,"subset_eq(union(index(cardinality(B), A), index(cardinality(B), union(A, B))), difference(A, B))",2473
1936,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",6188
1937,"subset_eq(union(index(cardinality(A), B), index(cardinality(A), difference(B, A))), intersection(A, index(cardinality(A), union(A, B))))",6240
1938,"or(subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4940
1939,"or(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), equals(cardinality(A), cardinality(difference(B, A))))",5102
1940,"and(or(subset_eq(B, difference(A, A)), equals(cardinality(A), cardinality(B))), greater_than(cardinality(A), cardinality(difference(B, A))))",1551
1941,"subset_eq(difference(A, index(cardinality(A), B)), index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))))",7265
1942,"or(or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), A))",3902
1943,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), difference(A, index(cardinality(B), A)))",9182
1944,"subset_eq(difference(index(cardinality(A), union(A, B)), B), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",7064
1945,"and(subset_eq(intersection(A, B), index(cardinality(A), union(A, B))), equals(cardinality(A), cardinality(difference(B, A))))",1995
1946,"or(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(B, index(cardinality(B), A)))",3607
1947,"subset_eq(difference(intersection(A, B), index(cardinality(A), union(A, B))), index(cardinality(difference(A, B)), union(A, B)))",7517
1948,"or(or(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(B), A), B))",3824
1949,"and(or(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(intersection(A, B), index(cardinality(B), union(A, B))))",872
1950,"and(and(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(B, index(cardinality(B), union(A, B))))",605
1951,"or(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",4593
1952,"and(subset_eq(index(cardinality(A), B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",2637
1953,"and(not(subset_eq(A, difference(A, B))), subset_eq(difference(B, A), index(cardinality(B), union(A, B))))",1759
1954,"or(not(subset_eq(A, B)), equals(cardinality(A), cardinality(difference(B, A))))",2947
1955,"subset_eq(union(index(cardinality(B), A), index(cardinality(B), difference(A, B))), index(cardinality(difference(A, A)), B))",6554
1956,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",8319
1957,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)), difference(difference(A, B), index(cardinality(B), difference(A, B))))",7856
1958,"and(not(subset_eq(B, difference(A, A))), subset_eq(index(cardinality(B), union(A, B)), A))",1813
1959,"and(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",2752
1960,"and(subset_eq(index(cardinality(B), A), difference(A, B)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",2499
1961,"and(not(subset_eq(union(A, B), difference(A, A))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",1872
1962,"and(subset_eq(index(cardinality(A), union(A, B)), A), subset_eq(index(cardinality(B), union(A, B)), difference(A, B)))",2249
1963,"and(subset_eq(index(cardinality(B), union(A, B)), A), equals(cardinality(A), cardinality(difference(B, A))))",2364
1964,"or(subset_eq(index(cardinality(B), A), B), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",4723
1965,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), difference(B, A))",5543
1966,"subset_eq(intersection(B, index(cardinality(A), union(A, B))), index(cardinality(difference(A, B)), intersection(A, B)))",6981
1967,"subset_eq(difference(index(cardinality(B), union(A, B)), A), index(cardinality(difference(A, A)), difference(B, A)))",7123
1968,"subset_eq(union(difference(A, B), index(cardinality(A), B)), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",5933
1969,"or(or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A))), subset_eq(B, index(cardinality(B), A)))",3682
1970,"or(subset_eq(B, A), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",2901
1971,"subset_eq(union(intersection(A, B), index(cardinality(A), union(A, B))), difference(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",5805
1972,"subset_eq(intersection(A, index(cardinality(B), union(A, B))), index(cardinality(B), union(difference(A, B), difference(B, A))))",6928
1973,"and(and(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), union(A, B)), B))",572
1974,"or(subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",4873
1975,"subset_eq(union(intersection(A, B), index(cardinality(B), difference(A, B))), index(cardinality(difference(A, A)), B))",5894
1976,"or(equals(cardinality(intersection(A, B)), cardinality(difference(B, A))), greater_than(cardinality(A), cardinality(difference(B, A))))",5174
1977,"or(or(subset_eq(A, B), equals(cardinality(A), cardinality(B))), subset_eq(intersection(A, B), index(cardinality(B), A)))",3639
1978,"or(subset_eq(difference(A, B), index(cardinality(A), union(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4555
1979,"and(not(or(subset_eq(A, B), subset_eq(B, A))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",503
1980,"or(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",5085
